# the local coordinates system, given by x axis, y axis, z axis and centroid; and the shape dimensions in these three axes
# the ID below should link to the id in asDamaged.ifc which I gave you before, they're the line number at which the element appears in the asDamaged.ifc
# the three axes should be mutually orthogonal, since they represents the axes in the local reference frame of the element
# x1 x2 x3 y1 y2 y3 z1 z2 z3 x0 y0 z0 xDim yDim zDim ID elementType
1 0 0 0 1 0 0 0 1 -1.24176e-09 10.65 10.5 0.4 0.3 3 1800 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 13.475 10.5 0.4 0.3 3 1854 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 16.3 10.5 0.4 0.4 3 1908 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 2.575 11.75 0.4 4.55 0.5 1962 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 6.4125 11.75 0.4 2.525 0.5 2016 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 9.2375 11.75 0.4 2.525 0.5 2070 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 16.3 13.5 0.4 0.4 3 2124 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 13.475 13.5 0.4 0.3 3 2178 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 10.65 13.5 0.4 0.3 3 2232 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 7.825 13.5 0.4 0.3 3 2286 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 5 13.5 0.4 0.3 3 2340 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 0 13.5 0.4 0.6 3 2394 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 2.575 14.75 0.4 4.55 0.5 2448 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 6.4125 14.75 0.4 2.525 0.5 2502 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 9.2375 14.75 0.4 2.525 0.5 2556 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 0 16.5 0.4 0.6 3 2610 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 5 16.5 0.4 0.3 3 2664 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 7.825 16.5 0.4 0.3 3 2718 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 10.65 16.5 0.4 0.3 3 2772 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 13.475 16.5 0.4 0.3 3 2826 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 16.3 16.5 0.4 0.4 3 2880 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 2.575 17.75 0.4 4.55 0.5 2934 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 6.4125 17.75 0.4 2.525 0.5 2988 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 9.2375 17.75 0.4 2.525 0.5 3042 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 7.825 22.5 0.4 0.3 3 3096 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 10.65 22.5 0.4 0.3 3 3150 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 5 19.5 0.4 0.3 3 3960 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 7.825 19.5 0.4 0.3 3 4014 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 10.65 19.5 0.4 0.3 3 4068 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 13.475 19.5 0.4 0.3 3 4122 IfcColumn
1 0 0 0 1 0 0 0 1 -1.24176e-09 16.3 19.5 0.4 0.4 3 4176 IfcColumn
1 0 0 0 1 0 0 0 1 -0.2 14.8625 20.85 1.6 2.475 0.299999 4230 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 9.2375 20.85 0.4 2.525 0.299999 4284 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 6.4125 20.85 0.4 2.525 0.299999 4338 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 14.8625 17.85 1.6 2.475 0.299999 4392 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 20.85 1.6 2.525 0.299999 4446 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 17.85 1.6 2.525 0.299999 4500 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 14.8625 14.85 1.6 2.475 0.3 4554 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 14.85 1.6 2.525 0.3 4608 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 16.4 0.8 2.525 0.200001 4770 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 13.4 0.8 2.525 0.2 4824 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 10.4 0.8 2.525 0.2 4878 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 7.4 0.8 2.525 0.2 4932 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 4.4 0.8 2.525 0.2 4986 IfcBeam
1 0 0 0 1 0 0 0 1 0.2 6.4125 1.4 0.8 2.525 0.2 5040 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 14.8625 11.85 1.6 2.475 0.3 5202 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 11.85 1.6 2.525 0.3 5256 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 14.8625 8.85 1.6 2.475 0.3 5310 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 14.8625 5.85 1.6 2.475 0.3 5364 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 8.85 1.6 2.525 0.3 5418 IfcBeam
1 0 0 0 1 0 0 0 1 -0.2 12.0625 5.85 1.6 2.525 0.3 5472 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 20.85 0.8 0.4 0.299999 5570 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 20.85 2 0.4 0.299999 5570 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 20.85 0.8 0.3 0.299999 5669 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 20.85 2 0.3 0.299999 5669 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 20.85 0.8 0.3 0.299999 5768 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 20.85 1.95 0.3 0.299999 5768 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 17.85 0.8 0.3 0.299999 5867 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 17.85 1.95 0.3 0.299999 5867 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 14.85 0.8 0.3 0.3 5966 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 14.85 1.95 0.3 0.3 5966 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 14.85 0.8 0.3 0.3 6065 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 14.85 2 0.3 0.3 6065 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 11.85 0.8 0.3 0.3 6164 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 11.85 1.95 0.3 0.3 6164 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 11.85 0.8 0.3 0.3 6263 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 11.85 2 0.3 0.3 6263 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 8.85 0.8 0.3 0.3 6362 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 8.85 1.95 0.3 0.3 6362 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 8.85 0.8 0.3 0.3 6461 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 8.85 2 0.3 0.3 6461 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 14.85 0.8 0.4 0.3 6560 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 14.85 2 0.4 0.3 6560 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 17.85 0.8 0.4 0.299999 6659 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 17.85 2 0.4 0.299999 6659 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 11.85 0.8 0.4 0.3 6758 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 11.85 2 0.4 0.3 6758 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 8.85 0.8 0.4 0.3 6857 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 8.85 2 0.4 0.3 6857 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 16.3 5.85 0.8 0.4 0.3 7226 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 16.3 5.85 2 0.4 0.3 7226 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 5.85 0.8 0.3 0.3 7325 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 5.85 2 0.3 0.3 7325 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 10.65 5.85 0.8 0.3 0.3 7424 IfcBeam
1 0 0 0 1 0 0 0 1 1.175 10.65 5.85 1.95 0.3 0.3 7424 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 -0.65 17.85 0.4 0.7 0.299999 7659 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 -0.65 14.85 0.4 0.7 0.3 7713 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 -0.65 11.85 0.4 0.7 0.3 7767 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 -0.65 8.85 0.4 0.7 0.3 7821 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 -0.65 5.85 0.4 0.7 0.3 8019 IfcBeam
1 0 0 0 1 0 0 0 1 -0.6 13.475 17.85 0.8 0.3 0.299999 8765 IfcBeam
1 0 0 0 1 0 0 0 1 1.2 13.475 17.85 2 0.3 0.299999 8765 IfcBeam
1 0 0 0 1 0 0 0 1 -1.24176e-09 9.2375 23.85 0.4 2.525 0.299999 8820 IfcBeam
